T, S, P
2.000169059, rapl-pkg, 3.7447296529874325
2.000169059, rapl-ram, 1.9398581168374762
4.000444255, rapl-pkg, 3.6745006996586786
4.000444255, rapl-ram, 1.934734731423077
6.000689885, rapl-pkg, 3.789530604107426
6.000689885, rapl-ram, 1.9347615270984544
8.000903964, rapl-pkg, 5.404418468359549
8.000903964, rapl-ram, 1.9947863942833275
10.0011078, rapl-pkg, 3.984588258549185
10.0011078, rapl-ram, 1.9448008057222748
12.001238255, rapl-pkg, 4.244717577715967
12.001238255, rapl-ram, 1.9698706661715417
14.001392841, rapl-pkg, 4.129686620795624
14.001392841, rapl-ram, 1.949849985366601
16.001519722, rapl-pkg, 15.96396176778247
16.001519722, rapl-ram, 2.3048525067259633
18.00161862, rapl-pkg, 25.63373223250498
18.00161862, rapl-ram, 2.61487076654954
20.001718145, rapl-pkg, 26.378681527550548
20.001718145, rapl-ram, 2.62486910302757
22.001816844, rapl-pkg, 26.93867503473776
22.001816844, rapl-ram, 2.629870446007154
24.001978246, rapl-pkg, 25.812945650907427
24.001978246, rapl-ram, 2.6197892759396955
26.002160808, rapl-pkg, 4.549587832365121
26.002160808, rapl-ram, 1.9748200089799217
28.002393159, rapl-pkg, 4.589476033289707
28.002393159, rapl-ram, 1.9647729970046315
30.002651596, rapl-pkg, 3.7095208337748593
30.002651596, rapl-ram, 1.924751156621965
32.002865846, rapl-pkg, 3.7045920873652602
32.002865846, rapl-ram, 1.9397905074746689
34.003074573, rapl-pkg, 3.5646408624331096
34.003074573, rapl-ram, 1.9198015837068199
36.003334628, rapl-pkg, 3.68452051308077
36.003334628, rapl-ram, 1.9197502683264698
38.003537774, rapl-pkg, 5.634415781513654
38.003537774, rapl-ram, 1.9947961637488036
40.003767252, rapl-pkg, 4.129534337190001
40.003767252, rapl-ram, 1.9347790143779253
42.003928859, rapl-pkg, 33.907102095612295
42.003928859, rapl-ram, 2.5147928715999237
44.00403404, rapl-pkg, 40.0428897797515
44.00403404, rapl-ram, 2.629861658757303
46.004138282, rapl-pkg, 39.59793417577405
46.004138282, rapl-ram, 2.6248630451457564
48.004243096, rapl-pkg, 40.13789512864156
48.004243096, rapl-ram, 2.6398614363130695
50.004424698, rapl-pkg, 29.88737076316291
50.004424698, rapl-ram, 2.4347811521309217
52.004641241, rapl-pkg, 5.564394360189049
52.004641241, rapl-ram, 1.9997829905491058
54.004859012, rapl-pkg, 3.8545759195573304
54.004859012, rapl-ram, 1.9297892264908934
56.00499882, rapl-pkg, 4.02473147394079
56.00499882, rapl-ram, 1.9398660493394941
58.005239031, rapl-pkg, 5.064376600562355
58.005239031, rapl-ram, 2.0097568676531785
60.005464019, rapl-pkg, 3.6845968443093846
60.005464019, rapl-ram, 1.934784048111078
62.005622209, rapl-pkg, 27.19273311859267
62.005622209, rapl-ram, 2.244819146145491
64.005719134, rapl-pkg, 57.447208496521135
64.005719134, rapl-ram, 2.6148731538107453
66.005815706, rapl-pkg, 57.67221316331552
66.005815706, rapl-ram, 2.614873608776683
68.005909854, rapl-pkg, 58.14725492624218
68.005909854, rapl-ram, 2.639875635458814
70.006005515, rapl-pkg, 57.907240227791604
70.006005515, rapl-ram, 2.6198746193504046
72.006118178, rapl-pkg, 36.93289519430288
72.006118178, rapl-ram, 2.629851510694152
74.006240922, rapl-pkg, 7.434573593748817
74.006240922, rapl-ram, 2.099873632754591
76.006465482, rapl-pkg, 3.819560368601574
76.006465482, rapl-ram, 1.944780081351231
78.00666845, rapl-pkg, 3.5196510195621085
78.00666845, rapl-ram, 1.9248058255883147
80.006891893, rapl-pkg, 3.494602993879579
80.006891893, rapl-ram, 1.9247838515854265
82.007080141, rapl-pkg, 5.444491789358414
82.007080141, rapl-ram, 1.999812103654177
84.007280711, rapl-pkg, 3.8496082754107195
84.007280711, rapl-ram, 1.9398046994929528
86.007490983, rapl-pkg, 4.679524855084789
86.007490983, rapl-ram, 1.9697948901825726
88.007759017, rapl-pkg, 6.804075571076611
88.007759017, rapl-ram, 2.084719368629271
90.007976159, rapl-pkg, 3.55961570744784
90.007976159, rapl-ram, 1.9347902571273858
92.008227795, rapl-pkg, 3.5595554115290997
92.008227795, rapl-ram, 1.9397565149730929
94.008479052, rapl-pkg, 3.5595452093670077
94.008479052, rapl-ram, 1.929756047959441
96.008698669, rapl-pkg, 3.5796107173344898
96.008698669, rapl-ram, 1.934788241296567
98.008868108, rapl-pkg, 20.22824667626284
98.008868108, rapl-ram, 6.2594645278475
100.009022191, rapl-pkg, 26.672937381752266
100.009022191, rapl-ram, 8.62933408723249
102.009166241, rapl-pkg, 26.98306500393397
102.009166241, rapl-ram, 8.62437932929281
104.009393443, rapl-pkg, 16.38317525013223
104.009393443, rapl-ram, 5.069428226794442
106.009645958, rapl-pkg, 6.739144623959888
106.009645958, rapl-ram, 2.134730107139919
108.009888504, rapl-pkg, 5.144383085580377
108.009888504, rapl-ram, 2.029754693996457
110.010134803, rapl-pkg, 3.509555744640842
110.010134803, rapl-ram, 1.929760120203378
112.010350781, rapl-pkg, 5.404434012541386
112.010350781, rapl-ram, 1.999785940913099
114.010595008, rapl-pkg, 3.8895105964949304
114.010595008, rapl-ram, 1.949759667748954
116.01074153, rapl-pkg, 5.209618843446938
116.01074153, rapl-ram, 2.019851940813034
118.010915499, rapl-pkg, 4.599609329881761
118.010915499, rapl-ram, 1.9748293530207761
